Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bolivia,BOL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,79805.50072,,,,,72112.82009,,,,,64817.29851,,,,,58049.98343,,,,,52198.49393,,,,,47106.67248,,,,,42382.84007,,,,,38236.44688,,,,,34714.19183,,,,,31752.04986,,,,,29245.46601,,,,,27115.51738,26732.69245,,,
Brazil,BRA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,73986.14186,,,,,64303.37471,,,,,56689.71254,,,,,50353.39348,,,,,44751.58176,,,,,40179.82448,,,,,36697.92998,,,,,33855.82381,,,,,31531.01316,,,,,29774.29522,,,,,28406.22673,,,,,27238.10718,27025.43742,,,
Barbados,BRB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,343.9040852,,,,,338.0362628,,,,,331.2313941,,,,,321.3741961,,,,,314.8639394,,,,,310.0630978,,,,,304.3097874,,,,,298.3037702,,,,,292.586944,,,,,287.045974,,,,,281.9900035,,,,,279.4964871,279.0957298,,,
Brunei Darussalam,BRN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,94989.04832,,,,,75591.83964,,,,,59852.83245,,,,,48650.10274,,,,,41249.3206,,,,,35779.68135,,,,,31034.58348,,,,,27246.90828,,,,,24511.42954,,,,,22668.66151,,,,,21303.41832,,,,,20024.45339,19815.3674,,,
Bhutan,BTN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,405027.4566,,,,,351924.8437,,,,,299852.9143,,,,,255772.3787,,,,,221477.2298,,,,,192185.9227,,,,,177727.8892,,,,,146815.4638,,,,,131488.1701,,,,,117315.6377,,,,,111177.3107,,,,,104618.9256,103393.9735,,,
Botswana,BWA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,4582.102689,,,,,4108.899534,,,,,3597.683092,,,,,2998.006326,,,,,2492.576795,,,,,2078.094803,,,,,1760.123091,,,,,1558.012599,,,,,1407.924385,,,,,1279.687415,,,,,1176.729584,,,,,1088.39786,1064.742086,,,
Central African Republic,CAF,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,90855.90125,,,,,82537.90597,,,,,75490.44698,,,,,69120.56096,,,,,60376.67337,,,,,53271.15091,,,,,47647.43332,,,,,41563.10281,,,,,37084.48609,,,,,33587.39058,,,,,31782.44757,,,,,30678.69765,30216.17423,,,
Canada,CAN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,153110.5619,,,,,139623.7507,,,,,128271.6991,,,,,120122.1807,,,,,113469.2273,,,,,107764.321,,,,,100453.7549,,,,,95298.76799,,,,,90879.8731,,,,,86655.04678,,,,,82098.91612,,,,,77985.54099,76891.77232,,,
Central Europe and the Baltics,CEB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1833.887491,,,,,1755.647577,,,,,1691.88173,,,,,1620.346215,,,,,1570.040011,,,,,1533.386346,,,,,2375.556973,,,,,2286.651407,,,,,2339.29116,,,,,2374.387671,,,,,2407.362625,,,,,2435.36899,2440.15779,,,
Switzerland,CHE,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,7248.177415,,,,,6742.565029,,,,,6452.688695,,,,,6431.918619,,,,,6321.083834,,,,,6172.550911,,,,,5876.052526,,,,,5699.045805,,,,,5545.829763,,,,,5350.201831,,,,,5051.982272,,,,,4780.024231,4744.94232,,,
